mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_forest__criterion,param_forest__max_depth,param_forest__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,label
0.04780759811401367,0.003304670744730137,0.003990840911865234,8.000923983158917e-06,entropy,10,10,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 10}",0.375,0.445,0.42,0.425,0.405,0.41400000000000003,0.0233238075793812,4,Audio
0.21560802459716796,0.011250148763027526,0.010192680358886718,0.000982533018388894,entropy,10,50,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 50}",0.435,0.475,0.39,0.44,0.395,0.42699999999999994,0.03140063693621515,1,Audio
0.3692021369934082,0.037266464100592776,0.014597034454345703,0.002408025687755126,entropy,10,100,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 100}",0.415,0.47,0.43,0.425,0.37,0.422,0.03203123475609393,3,Audio
0.7086068630218506,0.03015404679590294,0.02519087791442871,0.0019470511404962084,entropy,10,200,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 200}",0.415,0.475,0.435,0.435,0.375,0.42699999999999994,0.032496153618543834,1,Audio
1.2021985530853272,0.03603150623500504,0.023801708221435548,0.0007469870064684579,entropy,10,10,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 10}",0.5537475345167653,0.5500493096646942,0.5660749506903353,0.5562130177514792,0.5410502958579881,0.5534270216962524,0.008153856650333103,4,Dropped
6.038591527938843,0.17246465207088346,0.08240437507629395,0.004879423365532782,entropy,10,50,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 50}",0.5639792899408284,0.564965483234714,0.5788954635108481,0.5751972386587771,0.5642258382642998,0.5694526627218935,0.006317893995560116,2,Dropped
12.283402490615845,0.42808137990424494,0.17919130325317384,0.023147951747910244,entropy,10,100,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 100}",0.5659516765285996,0.5694033530571992,0.5777859960552268,0.5737179487179487,0.5595414201183432,0.5692800788954635,0.00629253921564198,3,Dropped
23.906614589691163,0.5612625969331358,0.31699934005737307,0.02029094173087396,entropy,10,200,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 200}",0.5691568047337278,0.571129191321499,0.5813609467455622,0.577292899408284,0.5676775147928994,0.5733234714003945,0.005184788729031539,1,Dropped
1.4715962886810303,0.060423490933865454,0.0284027099609375,0.003262207070757816,entropy,10,10,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 10}",0.5774,0.5697,0.578,0.5798,0.5653,0.57404,0.00557444167607841,4,Filled
7.803802251815796,0.10574793992833331,0.12040066719055176,0.019199151613637867,entropy,10,50,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 50}",0.5851,0.5842,0.5901,0.591,0.5807,0.58622,0.003839479131340587,3,Filled
15.643927192687988,0.7548290555358058,0.23099703788757325,0.03621419165372736,entropy,10,100,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 100}",0.5879,0.5848,0.5957,0.5972,0.5852,0.5901599999999999,0.005266725738065333,1,Filled
30.8522882938385,0.8244723912750656,0.42859563827514646,0.05590516232343215,entropy,10,200,"{'forest__criterion': 'entropy', 'forest__max_depth': 10, 'forest__n_estimators': 200}",0.5855,0.585,0.597,0.596,0.5846,0.58962,0.005633613405266629,2,Filled
